Abbagliato	i:29:132
Pagani	pu:14:118
Palermo	pa:8:75
Palladium	i:26:63
Pallas	pu:12:31
Paris	i:5:67	pu:11:81	pu:20:52
Parmenide	pa:13:125
Parnassus	pu:22:65	pu:28:141	pu:31:141	pa:1:16
Pasiphaë	pu:26:41
Paul	i:2:32	pa:18:131	pa:18:136
Peloro	pu:14:32	pa:8:68
Penelope	i:26:96
Penestrino	i:27:102
Pennine	i:20:65
Penthesilea	i:4:124
Pera	pa:16:126
Persians	pa:19:112
Persius	pu:22:100
Perugia	pa:6:75	pa:11:46
Peschiera	i:20:70
Peter	i:2:24	i:19:94	pu:7:125	pu:9:127	pu:13:51	pu:19:99	pu:21:54	pu:32:76	pa:9:141	pa:10:107	pa:11:120	pa:18:131	pa:22:88	pa:25:12	pa:32:133
Peter Comestor	pa:12:134
Peter Damian	pa:21:121
Peter of Spain	pa:12:134
Peter the Sinner	pa:21:122
Phaethon	i:17:107	pu:4:72	pa:31:125
Pharisees	i:23:116	i:27:85
Pharsalus	pa:6:65
Philips	pu:20:50
Phlegethon	i:14:116	i:14:131
Phlegra	i:14:58
Phlegyas	i:8:19	i:8:24
Pholus	i:12:72
Photinus	i:11:9
Physics	i:11:101
Pia	pu:5:133
Piava	pa:9:27
Piccarda	pu:24:10	pa:3:49	pa:4:97	pa:4:112
Pier Pettinaio	pu:13:128
Pier Traversaro	pu:14:98
Pier da Medicina	i:28:73
Pier da la Broccia	pu:6:22
Pietola	pu:18:83
Pietrapana	i:32:29
Pietro Bernardone	pa:11:89
Pilate	pu:20:91
Pinamonte	i:20:96
Pisa	i:33:79	pu:6:17
Pisans	i:33:30
Pisistratus	pu:15:101
Pistoia	i:24:126	i:24:143	i:25:10
Pius	pa:27:44
Plato	i:4:134	pu:3:43	pa:4:24
Plautus	pu:22:98
Plutus	i:6:115	i:7:2
Po	i:5:98	i:20:78	pu:14:92	pu:16:115	pa:15:137
Pola	i:9:113
Polenta	i:27:41
Pollux	pu:4:61
Polyclitus	pu:10:32
Polydorus	i:30:18	pu:20:115
Polyhymnia	pa:23:56
Polymestor	pu:20:115
Polyxena	i:30:17
Pompeian	pa:6:72
Ponthieu	pu:20:66
Pope Anastasius	i:11:8
Porta Sole	pa:11:47
Portugal	pa:19:139
Poverty	pa:11:74
Prague	pa:19:117
Prato	i:26:9
Pratomagno	pu:5:116
Pressa	pa:16:100
Priscian	i:15:109
Proserpina	pu:28:50
Provence	pu:7:126
Provenzan Salvani	pu:11:121
Provençal	pu:20:61
Provençals	pa:6:130
Ptolemea	i:33:124
Ptolemy	i:4:142	pa:6:69
Puccio Sciancato	i:25:148
Puglia	i:28:9
Purgatory	pu:7:39	pu:9:49
Pygmalion	pu:20:103
Pyramus	pu:27:37	pu:33:69
Pyrrhus	i:12:135
Quarnaro	i:9:113
Quirinus	pa:8:131
Rabanus	pa:12:139
Rachel	i:2:102	i:4:60	pu:27:104	pa:32:8
Rahab	pa:9:116
Ram	pu:8:134	pa:28:117	pa:29:2
Rascia	pa:19:140
Ravenna	i:27:40	pa:6:61
Ravignani	pa:16:97
Raymond Berenger	pa:6:134
Rebecca	pa:32:10
Red Sea	i:24:90
Red shore	pa:6:79
Regina celi	pa:23:128
Rehoboam	pu:12:46
Reno	i:18:61	pu:14:92
Renoart	pa:18:46
Rhea	i:14:100
Rhipaean mountains	pu:26:43
Rhone	pa:8:59
Rhône	i:9:112
Rialto	pa:9:26
Richard	pa:10:131
Rinier	pu:14:88
Rinier Pazzo	i:12:137
Rinier da Corneto	i:12:137
Ripheus	pa:20:68
Robert Guiscard	i:28:14	pa:18:48
Roland	i:31:18	pa:18:43
Romagna	i:27:37	i:33:154	pu:5:69	pu:15:44
Romagnols	i:27:28	pu:14:99
Roman	pu:10:74	pu:22:145	pu:32:102
Romans	i:15:77	i:18:28	i:26:60	pa:19:102
Rome	i:1:71	i:2:20	i:14:105	i:31:59	pu:6:112	pu:16:106	pu:16:127	pu:18:80	pu:21:89	pu:29:115	pu:32:102	pa:9:140	pa:15:126	pa:16:10	pa:24:63	pa:27:62	pa:31:34
Romena	i:30:73
Romeo	pa:6:128	pa:6:135
Romuald	pa:22:49
Rubaconte	pu:12:102
Rubicante	i:21:123	i:22:40
Rubicon	pa:6:62
Rudolf	pu:7:94	pa:8:72
Rule	pa:22:74
Sabellio	pa:13:127
Sabellus	i:25:95
Sacchetti	pa:16:104
Saint Anthony	pa:29:124
Saint John	pa:16:25
Saint Peter	i:1:134	i:19:91
Saint Peter's	i:18:32	i:31:59
Saladin	i:4:129
Salve, Regina	pu:7:82
Samaria	pu:21:3
Samuel	pa:4:29
San Benedetto	i:16:100
San Giovanni	i:19:17
San Leo	pu:4:25
San Zeno	pu:18:118
Sannella	pa:16:92
Santa Zita	i:21:38
Santafiora	pu:6:111
Santerno	i:27:49
Santo Andrea	i:13:133
Sapphira	pu:20:112
Sapìa	pu:13:109
Saracen	pu:23:103
Saracens	i:27:87
Sarah	pa:32:10
Sardanapalus	pa:15:107
Sardinia	i:22:89	i:29:48	pu:18:81	pu:23:94
Sardinians	i:26:104
Sassol Mascheroni	i:32:65
Saturn	pu:19:3
Satàn	i:7:1
Saul	pu:12:40
Savena	i:18:61
Savio	i:27:52
Scales	pu:2:5	pa:29:2
Scarmiglione	i:21:105
Scipio	i:31:116	pa:27:61
Scorpio	pu:25:3
Scot	pa:19:122
Scripture	pa:4:43	pa:19:83	pa:29:89
Scriptures	pa:13:128
Scyros	pu:9:37
Seine	pa:19:118
Semele	i:30:2	pa:21:6
Semiramis	i:5:58
Seneca	i:4:141
Senigallia	pa:16:75
Sennacherib	pu:12:53
Seraphim	pa:8:27	pa:28:99
Serchio	i:21:49
Sestos	pu:28:74
Sestri	pu:19:100
Seville	i:20:126	i:26:110
Sextus	i:12:135
Shinar	pu:12:36
Sibyl	pa:33:66
Sicheo	pa:9:98
Sicilian	i:27:7
Sicily	i:12:108	pu:3:116
Siena	i:29:109	pu:5:134	pu:11:111	pu:11:123
Sienese	i:29:122	i:29:134	pu:11:65
Siger	pa:10:136
Signa	pa:16:56
Sile	pa:9:49
Silvius	i:2:13
Simifonti	pa:16:62
Simois	pa:6:67
Simon Magus	i:19:1	pa:30:147
Simonides	pu:22:107
Sinon	i:30:98	i:30:116
Sirens	pu:31:45	pa:12:8
Sismondi	i:33:32
Sixtus	pa:27:44
Sizii	pa:16:108
Slavic	pu:30:87
Socrates	i:4:134
Sodom	i:11:50	pu:26:40	pu:26:79
Soldanieri	pa:16:93
Solon	pa:8:124
Son	pa:27:1
Soracte	i:27:95
Sordello	pu:6:74	pu:7:3	pu:7:52	pu:8:38	pu:8:43	pu:8:62	pu:8:94	pu:9:58
Sorgue	pa:8:59
South Wind	pu:32:99
Spain	i:26:103	pu:18:102	pa:6:64	pa:19:125
Spaniards	pa:29:101
Sphinx	pu:33:47
Spirit	pa:24:138
Statius	pu:21:91	pu:22:25	pu:24:119	pu:25:29	pu:25:32	pu:27:47	pu:32:29	pu:33:134
Street of Straw	pa:10:137
Stricca	i:29:125
Strophades	i:13:11
Styx	i:7:106	i:9:81	i:14:116
Summae Deus clementiae	pu:25:121
Sun	pu:29:78	pu:29:117	pu:29:118	pa:9:8	pa:10:53	pa:30:126
Swabia	pa:3:119
Sychaeus	i:5:62
Sylvester	i:27:94	pa:11:83
Syrinx	pu:32:65
Taddeo	pa:12:83
Tagliacozzo	i:28:17
Tagliamento	pa:9:44
Talamone	pu:13:152
Tambernicchi	i:32:28
Tarpeia	pu:9:137
Tarquin	i:4:127
Tartars	i:17:17
Taurus	pu:25:3
Te Deum laudamus	pu:9:140
Te lucis ante	pu:8:13
Tebaldello	i:32:122
Tegghiaio	i:6:79
Tegghiaio Aldobrandi	i:16:41
Temple	pu:20:93
Terence	pu:22:97
Tesoro	i:15:119
Testament	pa:5:76
Thales	i:4:137
Thames	i:12:120
Thaumas	pu:21:50
Thaïs	i:18:133
Theban	i:30:2	i:30:22
Thebans	i:20:32	pu:18:93
Thebes	i:14:69	i:25:15	i:32:11	i:33:89	pu:21:92	pu:22:89
Themis	pu:33:47
Theobald	i:22:52
Theseus	i:9:54	pu:24:123
Thetis	pu:22:113
Thisbe	pu:27:37
Thomas	pu:20:69	pa:12:110	pa:12:144	pa:14:6	pa:16:129
Thomas Aquinas	pa:10:99
Thrones	pa:28:104
Thymbraeus	pu:12:31
Tiber	i:27:30	pu:2:101	pa:11:106
Tigris	pu:33:112
Timaeus	pa:4:49
Tiresias	i:20:40	pu:22:113
Tisiphone	i:9:48
Tithonus	pu:9:1
Titus	pu:21:82	pa:6:92
Tityus	i:31:124
Tobias	pa:4:48
Tomyris	pu:12:56
Topino	pa:11:43
Toppo	i:13:121
Toscana	pu:13:149
Toulousan	pu:21:89
Tours	pu:24:23
Traversara	pu:14:107
Trento	i:12:5
Trespiano	pa:16:54
Trinacria	pa:8:67
Tristan	i:5:67
Trivia	pa:23:26
Trojan	i:30:22	pa:20:68
Trojans	i:13:11	i:28:10	i:30:14	pa:15:126
Tronto	pa:8:63
Troy	i:1:74	i:30:98	i:30:114	pu:12:61
Tully	i:4:141
Turbia	pu:3:49
Turks	i:17:17
Turnus	i:1:108
Tuscan	i:10:22	i:23:76	i:23:91	i:28:108	i:32:66	pu:11:58	pu:14:103	pu:14:124	pa:9:90	pa:22:117
Tuscans	i:22:99
Tuscany	i:24:122	pu:11:110	pu:14:16
Twins	pa:22:152
Tydeus	i:32:130
Typhoeus	pa:8:70
Typhon	i:31:124
Tyrol	i:20:63
Ubaldin da la Pila	pu:24:29
Ubaldo	pa:11:44
Ubertin Donato	pa:16:119
Uccellatoio	pa:15:110
Ughi	pa:16:88
Ugolin de’ Fantolin	pu:14:121
Ugolin d’Azzo	pu:14:105
Uguiccione	i:33:89
Ulysses	i:26:56	pu:19:22	pa:27:83
Urania	pu:29:41
Urban	pa:27:44
Urbino	i:27:29
Urbisaglia	pa:16:73
Utica	pu:1:74
Vair	pa:16:103
Val Camonica	i:20:65
Val di Magra	i:24:145	pu:8:116
Valdichiana	i:29:47
Valdigrieve	pa:16:66
Vanni Fucci	i:24:125
Varro	pu:22:98
Vatican	pa:9:139
Vecchio	pa:15:115
Venedico Caccianemico	i:18:50
Venetians	i:21:7
Venice	pa:19:141
Venus	pu:25:132	pu:27:95	pu:28:65
Vercelli	i:28:75
Verde	pu:3:131	pa:8:63
Vernaccia	pu:24:24
Verona	i:15:122	pu:18:118
Veronica	pa:31:104
Verrucchio	i:27:46
Vicenza	pa:9:47
Virgil	i:1:79	i:19:61	i:23:124	i:29:4	i:31:133	pu:2:61	pu:3:74	pu:6:67	pu:7:7	pu:8:64	pu:10:53	pu:13:79	pu:19:28	pu:21:14	pu:21:101	pu:21:103	pu:21:125	pu:22:10	pu:23:130	pu:24:119	pu:27:20	pu:27:118	pu:27:126	pu:29:56	pu:30:46	pu:30:49	pu:30:50	pu:30:51	pu:30:55	pa:17:19	pa:26:118
Vitaliano	i:17:68
Vltava	pu:7:99
Vulcan	i:14:57
Wain	i:11:114	pu:1:30	pa:13:7
Wenceslaus	pu:7:101
White	i:24:150
William	pa:18:46	pa:20:62
William the Marquess	pu:7:134
Wissant	i:15:4
Xerxes	pu:28:71	pa:8:124
Zeno	i:4:138
Zephyr	pa:12:46
Zion	pu:4:68
Zodiac	pu:4:64
comedy	i:16:128
dell'Alpe	i:16:101
d’Asciano	i:29:131
earth	pa:21:100
he	pa:5:21
heaven	i:2:66	i:2:125	pu:1:6	pu:1:47	pu:1:53	pu:1:91	pu:3:98	pu:5:54	pu:6:30	pu:14:11	pu:22:72	pu:32:75	pa:11:11	pa:20:94	pa:21:33	pa:21:91	pa:21:102
la Cattolica	i:28:80
limbo	i:4:45
moon	pa:1:115
paradise	pu:1:99	pa:7:38	pa:7:87	pa:14:38	pa:18:21	pa:21:59	pa:27:2	pa:30:44
sanese	pu:13:106
sun	pu:1:39	pu:1:107	pu:3:96
