El（エル）	pa:26:136
ブレーシャ	i:20:68
ブレーシャ人	i:20:71
プッチョ・シャンカート	i:25:148
プトレマイオス	i:4:142	pa:6:69
プラウトゥス	pu:22:98
プラトマーニョ	pu:5:116
プラトン	i:4:134	pu:3:43	pa:4:23
プラーガ	pa:19:117
プラート	i:26:9
プリスキアヌス	i:15:109
プルート	i:6:115	i:7:2
プレゲトン	i:14:116	i:14:131	i:14:132
プロセルピナ	pu:28:50
プロヴァンス	pu:7:126	pu:20:61
プロヴァンス人	pa:6:130
プロヴェンツァン・サルヴァーニ	pu:11:121
プーリア	i:28:8	pu:7:126
プーリア人	i:28:16
ヘカベー	i:30:16
ヘクトル	i:4:122	pa:6:68
ヘブライ	pa:32:17
ヘブライ人	pu:24:124	pa:5:49
ヘブライ人たち	pu:4:83
ヘラクレイトス	i:4:138
ヘラクレス	i:25:32	i:26:108	i:31:132	pa:9:101
ヘリオドロス	pu:20:113
ヘリケー	pu:25:131	pa:31:32	pa:31:33
ヘリコン	pu:29:40
ヘレスポントス	pu:28:71
ヘレナ	i:5:64
ヘント	pu:20:46
ベアトリーチェ	i:2:70	i:2:103	pu:6:46	pu:7:128	pu:15:77	pu:18:48	pu:18:73	pu:23:128	pu:27:36	pu:27:53	pu:30:73	pu:31:80	pu:31:107	pu:31:114	pu:31:133	pu:32:36	pu:32:85	pu:32:106	pu:33:4	pu:33:124	pa:1:46	pa:1:64	pa:2:22	pa:3:127	pa:4:13	pa:4:139	pa:5:16	pa:5:85	pa:5:122	pa:7:16	pa:9:16	pa:10:37	pa:10:52	pa:10:60	pa:11:11	pa:14:8	pa:14:79	pa:15:70	pa:16:13	pa:17:5	pa:17:29	pa:18:17	pa:18:53	pa:21:63	pa:22:125	pa:23:19	pa:23:34	pa:23:76	pa:24:10	pa:24:22	pa:24:55	pa:25:28	pa:25:137	pa:26:77	pa:27:34	pa:27:102	pa:29:8	pa:30:14	pa:30:128	pa:31:59	pa:31:66	pa:31:76	pa:32:9	pa:33:38
ベッケリーア	i:32:119
ベッリンチョン・ベルティ	pa:15:112
ベッリンチョーネ	pa:16:99
ベナコ	i:20:63	i:20:74	i:20:77
ベネディクトゥス	pa:32:35
ベネヴェント	pu:3:128
ベラックァ	pu:4:123
ベリサリウス	pa:6:25
ベルガモ人	i:20:71
ベルゼブブ	i:34:127
ベルタ	pa:13:139
ベルトラン・ダル・ボルニオ	i:28:134	i:29:29
ベルナルディン・ディ・フォスコ	pu:14:101
ベルナルド	pa:11:79
ベルナルドゥス	pa:31:102	pa:31:139	pa:33:49
ベロ	pa:9:97
ベーダ	pa:10:130
ペガサス	pa:18:82
ペスキエーラ	i:20:70
ペテロ	i:19:94	pu:9:127	pu:13:51	pu:19:99	pu:21:54	pu:32:76	pa:9:141	pa:11:120	pa:18:131	pa:32:133
ペトルス・コメストル	pa:12:134
ペトルス・ヒスパヌス	pa:12:134
ペネイア	pa:1:33
ペネロペ	i:26:95
ペルサ	i:7:103
ペルシウス	pu:22:100
ペルシャ人	pa:19:112
ペルージャ	pa:6:75	pa:11:46
ペローロ	pu:14:31
ペローロ岬	pa:8:68
ペンテシレイア	i:4:124
ペンニーノ	i:20:65
ホノリウス	pa:11:98
ホメロス	i:4:88
ホラティウス	i:4:89
ホロフェルネス	pu:12:59
ボスティキ家	pa:16:93
ボッカ	i:32:106
ボナジュンタ	pu:24:19	pu:24:20
ボナヴェントゥラ	pa:12:127
ボニファティウス	i:19:53
ボニファーツィオ	pu:24:29
ボヘミア	pa:19:125
ボルゴ地区	pa:16:134
ボルセーナ	pu:24:24
ボローニャ	i:23:142	pu:14:100
ボローニャ人	i:18:58	i:23:103
ボントゥーロ	i:21:41
ポリネストル	pu:20:115
ポリュクセナ	i:30:17
ポリュクレイトス	pu:10:32
ポリュドロス	i:30:18	pu:20:115
ポリュムニア	pa:23:55
ポルックス	pu:4:61
ポルトガル	pa:19:139
ポレンタ	i:27:41
ポロス	i:12:72
ポンティユー	pu:20:66
ポンペイウス	pa:6:52	pa:6:72
ポー	i:20:78	pu:16:115	pa:15:137
ポーラ	i:9:113
ポー川	i:5:98	pu:14:92	pa:6:51
マイア	pa:22:144
マカバイ記	i:19:86
マカベオ	pa:18:40
マカリウス	pa:22:49
マクラ	pa:9:89
マティア	i:19:94
マテルダ	pu:33:119
マホメット	i:28:31	i:28:62
マヨルカ	i:28:82
マラコト	pa:7:3
マラコーダ	i:21:76	i:21:79
マリア	pu:3:39	pu:5:101	pu:8:37	pu:10:50	pu:13:50	pu:18:100	pu:20:19	pu:22:142	pu:23:30	pu:33:6	pa:3:122	pa:4:30	pa:11:71	pa:14:36	pa:15:133	pa:23:111	pa:23:126	pa:23:136	pa:32:4	pa:32:95	pa:32:106	pa:32:114
マルカボ	i:28:75
マルキア	i:4:128	pu:1:79	pu:1:85
マルケルス	pu:6:125
マルケーゼ	pu:24:31
マルゲリータ	pu:7:128
マルコ	pu:16:46	pu:16:130
マルシュアス	pa:1:20
マルシリア	pu:18:102
マルス	i:24:145	i:31:51	pu:12:31	pa:4:63	pa:8:132	pa:16:46	pa:27:14
マルズッコ	pu:6:18
マルタ	pa:9:54
マルティーノ	pa:13:139
マレブランケ	i:21:37	i:22:100	i:23:23	i:33:142
マレンマ	i:25:19	i:29:47	pu:5:134
マントヴァ	i:1:69	i:2:58	i:20:93	pu:6:72	pu:18:82
マントヴァ人	pu:6:74
マンフレーディ	pu:3:112
マーレボルジェ	i:18:1	i:21:5	i:24:37	i:29:40
ミカエル	pa:4:47
ミカル	pu:10:68	pu:10:72
ミケーレ	i:7:11	pu:13:51
ミケーレ・ザンケ	i:33:144
ミケーレ・スコット	i:20:116
ミゼレーレ	pu:5:24
ミダス	pu:20:106
ミディアン	pu:24:126
ミネルヴァ	pu:30:68	pa:2:8
ミノス	i:5:4	i:5:17	i:13:96	i:20:36	i:27:124	i:29:120	pu:1:77	pa:13:14
ミノタウロス	i:12:25
ミュラー	i:30:38
ミラノ	pu:18:120
ミラノ人	pu:8:80
ミンチョ	i:20:77
ミーラ	pu:5:79
ムキウス	pa:4:84
ムーサ	i:2:7	pu:1:8	pu:22:102	pa:2:9	pa:12:7	pa:15:26	pa:18:33
ムーダ	i:33:22
メガイラ	i:9:46
メテッルス	pu:9:137
メディア	i:18:96
メドゥーサ	i:9:52
メナリッポス	i:32:131
メリッソス	pa:13:125
メルキゼデク	pa:8:125
メルクリウス	pa:4:63
メレアグロス	pu:25:22
モスカ	i:6:80	i:28:106
モデナ	pa:6:75
モナルディ家	pu:6:107
モルタヴァ	pu:7:99
モルデカイ	pu:17:29
モロッコ	i:26:104	pu:4:139
モロント	pa:15:136
モンジベッロ	i:14:56
モンタペルティ	i:32:81
モンターニャ	i:27:47
モンテッキ家	pu:6:106
モンテフェルトロ	pu:5:88
モンテマロ	pa:15:109
モンテムルロ	pa:16:64
モンテレッジォーニ	i:31:41
モンテ・ヴィーゾ	i:16:95
モンフェッラート	pu:7:136
モーセ	i:4:57	pu:32:80	pa:4:29	pa:24:136	pa:26:41
ヤクリ	i:24:86
ヤコブ	pu:32:76	pa:8:131	pa:22:70	pa:22:71
ヤヌス	pa:6:81
ヤーコポ・ダ・サント・アンドレア	i:13:133
ヤーコポ・ルスティクッチ	i:6:80	i:16:44
ユウェナリス	pu:22:13
ユスティニアヌス	pu:6:89	pa:6:10
ユダ	i:9:27	i:31:143	pu:20:73	pu:21:83
ユダヤ人	i:23:123	i:27:87	pa:5:81
ユダヤ人たち	pa:7:47	pa:29:102
ユダ・イスカリオテ	i:34:62
ユダ家	pa:16:123
ユディト	pa:32:10
ユノ	i:30:1	pa:12:12	pa:28:32
ユバ	pa:6:70
ユピテル	i:14:52	i:31:44	i:31:92	pu:6:118	pu:29:120	pu:32:112	pa:4:62	pa:27:14
ユリア	i:4:128
ユリウス	i:1:70
ユーグ・カペー	pu:20:49
ユーフラテス	pu:33:112
ヨカスタ	pu:22:55
ヨサファトの谷	i:10:11
ヨシュア	pu:20:110	pa:9:125	pa:18:38
ヨセフ	i:30:97
ヨハネ	pu:29:105	pu:32:76	pa:4:29	pa:32:31
ヨルダン川	pu:18:135	pa:22:94
ヨーロッパ	pu:8:122	pa:6:5	pa:12:48
ライン川	pa:6:58
ラウィニア	i:4:126	pu:17:37
ラウィーナ	pa:6:3
ラケシス	pu:25:79
ラケデモン	pu:6:139
ラケル	i:2:102	i:4:60	pu:27:104	pa:32:8
ラシュカ	pa:19:140
ラスカ	pu:32:53
ラティヌス	i:4:125
ラテラノ	i:27:86	pa:31:35
ラテン	i:27:26	i:28:71	pu:13:92
ラテン人	i:22:65	i:27:33	pu:7:16	pu:11:58
ラトナ	pu:20:131	pa:10:67	pa:22:139	pa:29:1
ラハブ	pa:9:116
ラバヌス・マウルス	pa:12:139
ラピ	pa:29:103
ラモーネ	i:27:49
ランギア	pu:22:112
ランスロット	i:5:128
ランフランキ家	i:33:32
ランベルティ家	pa:16:110
ラヴィニャーニ家	pa:16:97
ラヴェンナ	i:27:40	pa:6:61
ラーノ	i:13:120
ラーポ・サルタレッロ	pa:15:128
リア	pu:27:101
リアルト	pa:9:26
リウィウス	i:28:12
リカルドゥス	pa:10:130
リニエーリ	pu:14:88
リニエール・ダ・コルネート	i:12:137
リニエール・パッツォ	i:12:137
リヌス	pa:27:41
リノアルド	pa:18:46
リノス	i:4:141
リビア	i:24:85
リビコッコ	i:21:121	i:22:70
リフェウス	pa:20:68
リベカ	pa:32:10
リモージュ	pu:26:120
リュクールゴス	pu:26:94
リンボ	i:4:45
リーツィオ	pu:14:97
リーフェ	pu:26:43
リール	pu:20:46
ルイ家	pu:20:50
ルカ	pu:21:7
ルカヌス	i:4:90	i:25:94
ルクレツィア	i:4:128	pa:6:41
ルシファー	i:31:143	i:34:89
ルチーア	i:2:97	i:2:100	pu:9:55	pa:32:137
ルッカ	i:18:122	i:33:30	pu:24:20	pu:24:35
ルッジエーリ大司教	i:33:14
ルドルフ	pu:7:94	pa:8:72
ルバコンテ橋	pu:12:102
ルビカンテ	i:21:123	i:22:40
ルビコン川	pa:6:62
ルーニ	i:20:47	pa:16:73
レア	i:14:100
レアルコ	i:30:10
レアンドロス	pu:28:73
レジーナ・チェリ	pa:23:128
レダ	pa:27:98
レテ	i:14:131	i:14:136	pu:28:130	pu:33:96	pu:33:123
レテ川	pu:26:108	pu:30:143
レハブアム	pu:12:46
レバノン	pu:30:11
レムノス島	i:18:88
レリチ	pu:3:49
レヴィ	pu:16:132
レーノ川	i:18:60	pu:14:92
レーモン・ベランジェ4世	pa:6:134
ログドーロ	i:22:89
ロデリンゴ	i:23:104
ロドペ	pa:9:100
ロベルト・グイスカルド	i:28:13	pa:18:48
ロマーニャ	i:27:28	i:27:37	i:33:154	pu:5:69	pu:15:44
ロマーニャ人	pu:14:99
ロムアルドゥス	pa:22:49
ロメオ	pa:6:128	pa:6:135
ロメーナ	i:30:73
ロレンツォ	pa:4:83
ロンゴバルド	pa:6:94
ロンバルディア	i:27:20	pu:6:61
ロンバルディア人	i:1:68	i:22:99	pu:16:46	pu:16:126
ローヌ川	i:9:112	pa:6:60	pa:8:59
ローマ	i:1:71	i:2:20	i:2:22	i:14:105	i:31:59	pu:6:112	pu:10:74	pu:16:106	pu:16:127	pu:18:80	pu:19:107	pu:21:89	pu:22:145	pu:29:115	pu:32:102	pa:6:57	pa:9:139	pa:15:126	pa:16:10	pa:24:63	pa:27:62	pa:31:34
ローマ人	i:15:77	i:18:28	i:26:60	pu:32:102	pa:19:102
ローマ人たち	pa:6:44
ローラン	i:31:18	pa:18:43
ヴァティカン	pa:9:139
ヴァルディキアーナ	i:29:46
ヴァルディグレーヴェ	pa:16:66
ヴァル・カモニカ	i:20:65
ヴァル・ディ・マーグラ	i:24:145	pu:8:115
ヴァル川	pa:6:58
ヴァンニ・フッチ	i:24:125
ヴィタリアーノ	i:17:68
ヴィチェンツァ	pa:9:47
ヴィンチスラオ	pu:7:101
ヴェッキオ	pa:15:115
ヴェッルッキオ	i:27:46
ヴェネツィア	pa:19:141
ヴェネツィア人	i:21:7
ヴェネーディコ・カッチャネミーコ	i:18:50
ヴェルチェッリ	i:28:75
ヴェルデ川	pu:3:131	pa:8:63
ヴェロニカ	pa:31:104
ヴェローナ	i:15:122	i:20:68	pu:18:118
三位一体	pa:15:47	pa:31:28
両熊座	pa:2:9
倫理学	i:11:80
創世記	i:11:107
北斗	pu:30:5
北斗七星	pu:30:1
原動天	pa:28:71	pa:30:107
双子座	pa:22:152
喜劇	i:16:128	i:21:2
土星	pu:19:3	pa:22:146
地獄	i:1:110	i:3:41	i:5:10	i:6:40	i:6:84	i:10:36	i:25:13	i:26:3	i:28:50	i:29:96	i:34:1	i:34:81	pu:1:45	pu:1:129	pu:7:21	pu:12:113	pu:16:1	pu:16:39	pu:21:31	pu:22:14	pu:22:99	pa:6:74	pa:20:106	pa:26:133	pa:31:81
地球	pa:22:134	pa:22:151
大熊座	i:11:114	pu:1:30
天	i:2:125	i:3:40	i:4:78	i:11:22	i:21:83	pu:1:47	pu:1:53	pu:5:54	pa:10:92	pa:15:6	pa:15:30	pa:19:28	pa:22:7	pa:22:8
天の国	pa:20:94
天の山羊	pa:27:68
天の川	pa:14:99
天上	i:2:94	i:2:96
天国	pu:1:99	pu:7:8	pa:3:88	pa:10:104	pa:16:6	pa:18:21	pa:20:117	pa:21:59	pa:23:61	pa:27:2	pa:28:1	pa:30:44	pa:31:52
天秤座	pu:2:5	pu:2:6
太陽	i:1:38	i:1:60	i:2:128	i:11:91	i:24:2	pu:1:39	pu:1:107	pu:1:122	pu:2:1	pu:4:56	pu:4:81	pu:4:119	pu:4:137	pu:6:56	pu:7:54	pu:8:133	pu:9:44	pu:12:74	pu:15:5	pu:17:5	pu:17:8	pu:17:9	pu:19:10	pu:26:4	pu:26:23	pu:29:78	pa:1:47	pa:1:54	pa:9:69	pa:9:85	pa:10:41	pa:10:48	pa:10:54	pa:17:123	pa:18:105	pa:19:5	pa:19:6	pa:20:31	pa:22:142	pa:26:121	pa:26:142	pa:27:69	pa:27:86	pa:33:145
宇宙	pa:31:23
帝国	pu:6:105
座天使	pa:28:104
愛の知性を持つ貴婦人たちよ	pu:24:51
教令集	pa:9:134
新生	pu:30:115
新約	pa:5:76
旧約	pa:5:76
智天使	pa:28:99
月	i:7:64	pu:19:2	pa:1:115
月天	pa:16:82
木星	pa:18:70	pa:18:95	pa:22:145
楽園	pa:3:89	pa:7:37	pa:7:87	pa:14:37
水星	pa:22:144
水瓶座	i:24:2
火星	pu:2:14	pa:14:100	pa:22:146
煉獄	pu:7:39	pu:9:49
熊たち	pu:4:65
熾天使	pa:28:72	pa:28:99
牡牛座	pu:25:3	pa:22:110
牡羊座	pu:8:134	pa:28:117
獅子座	pa:16:37	pa:21:14
白党員	i:24:150
神	i:1:131	i:2:91	i:2:103	i:3:38	i:3:39	i:11:26	i:11:95	i:11:100	i:11:105	pu:2:29	pu:5:56	pu:5:57	pu:7:4	pu:10:107	pu:13:117	pu:13:122	pu:13:124	pu:13:146	pu:16:40	pu:16:108	pu:19:76	pu:23:58	pu:28:125	pu:30:142	pu:33:71	pu:33:88	pa:2:42	pa:3:80	pa:6:111	pa:7:47	pa:7:56	pa:7:73	pa:7:91	pa:7:103	pa:7:109	pa:7:115	pa:7:117	pa:7:119	pa:9:62	pa:9:73	pa:12:93	pa:13:141	pa:14:89	pa:18:4	pa:19:29	pa:20:96	pa:20:98	pa:20:110	pa:21:83	pa:23:73	pa:23:113	pa:23:136	pa:24:130	pa:24:142	pa:26:48	pa:26:50	pa:26:55	pa:27:57	pa:27:105	pa:27:109	pa:29:77	pa:29:89	pa:31:22	pa:31:99	pa:33:40
福音	pa:24:144	pa:29:96	pa:29:114
福音書	pu:22:154	pa:9:133	pa:24:137
第二のフリードリヒ	i:10:119
紅海	i:24:90
聖アントニウス	pa:29:124
聖ジョヴァンニ	pa:16:25
聖トマス	pa:16:129
聖ペテロ	i:1:134	i:18:32	i:19:91
聖地	pa:9:125
聖書	pa:4:43	pa:13:128	pa:19:83	pa:29:89	pa:32:67
聖母マリア	pa:21:123
聖霊	pu:20:97	pa:3:53	pa:11:98	pa:14:76	pa:19:101	pa:20:38	pa:21:127	pa:24:91	pa:24:138	pa:27:1	pa:29:41
自然学	i:11:101
蟹座	pa:25:101
蠍座	pu:25:3
詩篇	pa:24:136
辺獄	pu:22:14	pa:32:84
金星	pa:22:144
陽気な修道士	i:23:103
魚座	i:11:113	pu:1:21
黒党	i:24:143
