Italian	English	Japanese
Faenza	Faenza	ファエンツァ
Fabbro	Fabbro	ファッブロ
Fabi	Fabius	ファビウス
Fabbrizio	Fabricius	ファブリツィウス
Famagosta	Famagusta	ファマグスタ
Farisei	Pharisees	ファリサイ
Farinata	Farinata	ファリナータ
Farsaglia	Pharsalia	ファルサリア
Falterona	Falterona	ファルテローナ
Farfarello	Farfarello	ファルファレッロ
Fantolin	Fantolin	ファントリン
Fano	Fano	ファーノ
Fialte	Ephialtes	フィアルテ
Fiesole	Fiesole	フィエーゾレ
fiorino	florin	フィオリーノ
Fifanti	Fifanti	フィファンティ
Filippi	Filippi	フィリッピ
Filippo	Philip	フィリップ
Filippeschi	Filippeschi	フィリッペスキ
Filippo Argenti	Filippo Argenti	フィリッポ・アルジェンティ
Firenze	Florence	フィレンツェ
Fegghine	Fegghine	フェッギーネ
Federico	Frederick	フェデリーコ
Federigo	Federigo	フェデリーゴ
Federigo Tignoso	Federigo Tignoso	フェデリーゴ・ティニョーゾ
Federigo	Federigo	フェデリーゴ・ノヴェッロ
Fenicia	Phoenicia	フェニキア
Ferrara	Ferrara	フェラーラ
Felice	Felix	フェリーチェ
Feltro	Feltro	フェルト
Feltre	Feltre	フェルトレ
Feltro	Feltro	フェルトロ
Focaccia	Focaccia	フォカッチャ
Focara	Focara	フォカーラ
Fotin	Photinus	フォティヌス
Folco	Folco	フォルコ
Fortuna	Fortune	フォルトゥーナ
Forlì	Forlì	フォルリ
Forese	Forese	フォレーゼ
Donati	Donati	フォレーゼ・ドナーティ
Avellana	Avellana	フォンテ・アヴェッラーナ
Fonte Branda	Fonte Branda	フォンテ・ブレンダ
Fucci	Fucci	フッチ
Erinni	Furies	フューリー
Franco Bolognese	Franco Bolognese	フランコ・ボロニェーゼ
Francia	France	フランス
Francesca	Francesca	フランチェスカ
Francesco	Francis	フランチェスコ
Francesco d'Accorso	Francesco d'Accorso	フランチェスコ・ダッコルソ
Fiandra	Flanders	フランドル
Frigia	Phrygia	フリジア
Fulcieri	Fulcieri	フルチエーリ
Flegïàs	Phlegyas	フレギアス
Flegra	Phlegra	フレグラ
Ugo	Hugh	フーゴー
Bonconte	Bonconte	ブオンコンテ
Buondelmonte	Buondelmonte	ブオンデルモンテ
Buondelmonti	Buondelmonti	ブオンデルモンティ
Buoso	Buoso	ブオーゾ
Donati	Donati	ブオーゾ・ドナーティ
Buggea	Buggea	ブジェア
Brabante	Brabant	ブラバン
Brabante	Brabant	ブラバンテ
Branca	Branca	ブランカ
Branca	Branca	ブランカ・ドーリア
Briareo	Briareus	ブリアレオス
Bulicame	Bulicame	ブリカーメ
Brigata	Brigata	ブリガータ
Brisso	Brisso	ブリッソ
Bindi	Bindis	ブリンディジ
Bruggia	Bruges	ブルッヘ
Brunetto	Brunetto	ブルネット
Brunetto	Brunetto	ブルネット・ラティーノ
Bruto	Brutus	ブルートゥス
Bretinoro	Bretinoro	ブレティノーロ
Brenta	Brenta	ブレンタ
Brenno	Brennus	ブレンヌス
Brescia	Brescia	ブレーシャ
Broccia	Broccia	ブロッチャ
Sciancato	Sciancato	プッチョ・シャンカート
Tolomeo	Ptolemy	プトレマイオス
Plauto	Plautus	プラウトゥス
Pratomagno	Pratomagno	プラトマーニョ
Platone	Plato	プラトン
Praga	Prague	プラーガ
Prata	Prata	プラータ
Prato	Prato	プラート
Priscian	Priscian	プリスキアヌス
Pluto	Plutus	プルート
Flegetonta	Phlegethon	プレゲトン
Progne	Progne	プロクネ
Proserpina	Proserpina	プロセルピナ
Provenza	Provence	プロヴァンス
Provenzan Salvani	Provenzan Salvani	プロヴェンツァン・サルヴァーニ
Puglia	Puglia	プーリア
Ecuba	Hecuba	ヘカベー
Ettore	Hector	ヘクトル
Ebrei	Hebrews	ヘブライ
Eraclito	Heraclitus	ヘラクレイトス
Ercole	Hercules	ヘラクレス
Elïodoro	Heliodorus	ヘリオドロス
Elice	Helice	ヘリケー
Elicona	Helicon	ヘリコン
Ellesponto	Hellespont	ヘレスポントス
Elena	Helen	ヘレナ
Guanto	Ghent	ヘント
Arrigo	Henry	ヘンリー3世
Beatrice	Beatrice	ベアトリーチェ
Beccheria	Beccheria	ベッケリーア
Bellincion Berti	Bellincion Berti	ベッリンチョン・ベルティ
Bellincione	Bellincione	ベッリンチョーネ
Benaco	Benaco	ベナコ
Benedetto	Benedict	ベネディクトゥス
Benevento	Benevento	ベネヴェント
Belacqua	Belacqua	ベラックァ
Belisario	Belisarius	ベリサリウス
Bergamo	Bergamo	ベルガモ
Belzebù	Beelzebub	ベルゼブブ
Berta	Berta	ベルタ
Bertran dal Bornio	Bertran de Born	ベルトラン・ダル・ボルニオ
Bernardin	Bernardin	ベルナルディン・ディ・フォスコ
Bernardo	Bernard	ベルナルド
Bernardo	Bernard	ベルナルドゥス
Belo	Belus	ベロ
Beda	Bede	ベーダ
Pegasëa	Pegasean	ペガサス
Peschiera	Peschiera	ペスキエーラ
Pietro	Peter	ペテロ
Pietro Mangiadore	Peter Comestor	ペトルス・コメストル
Pietro Spano	Peter of Spain	ペトルス・ヒスパヌス
Pietro Lombardo	Peter Lombard	ペトルス・ロンバルドゥス
Pietro	Peter	ペドロ3世
Peneo	Peneus	ペネイア
Penelope	Penelope	ペネロペ
Persio	Persius	ペルシウス
Persia	Persia	ペルシャ
Perugia	Perugia	ペルージャ
Peloro	Peloro	ペローロ
Pantasilea	Penthesilea	ペンテシレイア
Pennino	Pennine	ペンニーノ
Osanna	Hosanna	ホザンナ
Onorio	Honorius	ホノリウス
Omero	Homer	ホメロス
Orazio	Horace	ホラティウス
Oloferne	Holofernes	ホロフェルネス
Boezio	Boethius	ボエティウス
Bostichi	Bostichi	ボスティキ
Bocca	Bocca	ボッカ
Bonagiunta	Bonagiunta	ボナジュンタ
Bonaventura	Bonaventure	ボナヴェントゥラ
Bonifazio	Boniface	ボニファティウス
Bonatti	Bonatti	ボニファーツィオ
Boemia	Bohemia	ボヘミア
Borgo	Borgo	ボルゴ
Lucia	Lucia	ボルジャ
Bolsena	Bolsena	ボルセーナ
Bologna	Bologna	ボローニャ
Bonturo	Bonturo	ボントゥーロ
Putifar	Potiphar	ポティファル
Polinestòr	Polymestor	ポリネストル
Polissena	Polyxena	ポリュクセナ
Policleto	Polyclitus	ポリュクレイトス
Polidoro	Polydorus	ポリュドロス
Polimnïa	Polyhymnia	ポリュムニア
Porta San Piero	Porta San Piero	ポルタ・サン・ピエーロ
Poluce	Pollux	ポルックス
Portogallo	Portugal	ポルトガル
Polenta	Polenta	ポレンタ
Folo	Pholus	ポロス
Pontì	Ponthieu	ポンティユー
Pompeo	Pompey	ポンペイウス
Po	Po	ポー
Pola	Pola	ポーラ
Maia	Maia	マイア
Maccabei	Maccabee	マカバイ
Macabeo	Maccabee	マカベオ
Maccario	Macarius	マカリウス
Maghinardo	Maghinardo	マギナルド・パガーニ
Macra	Macra	マクラ
Matia	Matthias	マティア
Matelda	Matelda	マテルダ
Maometto	Mohammed	マホメット
Maiolica	Majorca	マヨルカ
Malacoda	Malacoda	マラコーダ
Malaspina	Malaspina	マラスピーナ
Malatesta	Malatestas	マラテスタ
Malatestino	Malatestino	マラテスティーノ
Maria	Mary	マリア
Marcabò	Marcabò	マルカボ
Marca	March	マルキア
Marcel	Marcellus	マルケルス
Marchese	Marchese	マルケーゼ
Marco	Mark	マルコ
Marco Lombardo	Marco Lombardo	マルコ・ロンバルド
Marsia	Marsyas	マルシュアス
Marsilia	Marseilles	マルシリア
Marte	Mars	マルス
Marzucco	Marzucco	マルズッコ
Marsilia	Marseilles	マルセイユ
Malta	Malta	マルタ
Martino	Martino	マルティヌス
Martino	Martino	マルティーノ
Malebranche	Malebranche	マレブランケ
Maremma	Maremma	マレンマ
Mantüa	Mantua	マント
Mantova	Mantua	マントヴァ
Manfredi	Manfred	マンフレーディ
Malebolge	Malebolge	マーレボルジェ
Michele	Michael	ミカエル
Micòl	Michal	ミカル
Michele	Michel	ミケーレ
Michel Zanche	Michel Zanche	ミケーレ・ザンケ
Michele Scotto	Michael Scot	ミケーレ・スコット
Miserere	Miserere	ミゼレーレ
Mida	Midas	ミダス
Madïan	Midian	ミディアン
Minerva	Minerva	ミネルヴァ
Minosse	Minos	ミノス
Minotauro	Minotaur	ミノタウロス
Mirra	Myrrha	ミュラー
Milano	Milan	ミラノ
Mincio	Mincio	ミンチョ
Muzio	Mucius	ムキウス
Musa	Muse	ムーサ
Megera	Megaera	メガイラ
Metello	Metellus	メテッルス
Medea	Medea	メディア
Medicina	Medicina	メディチーナ
Medusa	Medusa	メドゥーサ
Menalippo	Menalippus	メナリッポス
Melisso	Melisso	メリッソス
Mercato	Mercato	メルカート
Melchisedèch	Melchizedek	メルキゼデク
Mercurio	Mercury	メルクリウス
Meleagro	Meleager	メレアグロス
Mosca	Mosca	モスカ
Mozzi	Mozzi	モッツィ
Modena	Modena	モデナ
Monaldi	Monaldi	モナルディ
Moldava	Moldau	モルタヴァ
Mardocheo	Mordecai	モルデカイ
Morrocco	Morocco	モロッコ
Moronto	Moronto	モロント
Mongibello	Mongibello	モンジベッロ
Montaperti	Montaperti	モンタペルティ
Montagna	Montagna	モンターニャ
Montecchi	Montecchi	モンテッキ
Montefeltro	Montefeltro	モンテフェルトロ
Montemalo	Montemalo	モンテマロ
Montemurlo	Montemurlo	モンテムルロ
Montereggioni	Montereggioni	モンテレッジォーニ
Montecchi	Montecchi	モンテ・カッシーノ
Monviso	Monviso	モンテ・ヴィーゾ
Monferrato	Montferrat	モンフェッラート
Mosè	Moses	モーセ
Mordred	Mordred	モードレッド
Giacobbe	Jacob	ヤコブ
Agnus	Agnus	ヤヌス
Iacopo	Jacopo	ヤーコポ
Iacopo del Cassero	Jacopo del Cassero	ヤーコポ・デル・カッセロ
Iacopo Rusticucci	Jacopo Rusticucci	ヤーコポ・ルスティクッチ
Giovenale	Juvenal	ユウェナリス
Giustiniano	Justinian	ユスティニアヌス
Giuda	Judas	ユダ
Giudea	Judea	ユダヤ
Iscariota	Iscariot	ユダ・イスカリオテ
Giuda Maccabeo	Judas Maccabeus	ユダ・マカバイ
Iudìt	Judith	ユディト
Giunone	Juno	ユノ
Iuba	Juba	ユバ
Giove	Jupiter	ユピテル
Iulia	Julia	ユリア
Iulio	Julius	ユリウス
Giulio Cesare	Julius Caesar	ユリウス・カエサル
Ugo Ciappetta	Hugh Capet	ユーグ・カペー
Ëufratès	Euphrates	ユーフラテス
Gioacchino	Joachim	ヨアキム
Giocasta	Jocasta	ヨカスタ
Giosafat	Jehoshaphat	ヨサファト
Giosuè	Joshua	ヨシュア
Giuseppe	Joseph	ヨセフ
Giovanni	John	ヨハネ
Iordan	Jordan	ヨルダン
Europa	Europe	ヨーロッパ
Reno	Rhine	ライン
Lavinia	Lavinia	ラウィニア
Lavinia	Lavinia	ラウィーナ
Làchesis	Lachesis	ラケシス
Lacedemona	Lacedaemon	ラケデモン
Rachele	Rachel	ラケル
Latino	Latinus	ラティヌス
Latino	Latino	ラティーノ
Laterano	Lateran	ラテラノ
Latino	Latin	ラテン
Latona	Latona	ラトナ
Raab	Rahab	ラハブ
Rabano	Rabanus Maurus	ラバヌス・マウルス
Labia mea Domine	Labia mea Domine	ラビア・メア・ドミネ
Raphèl maì amècche zabì almi	Raphèl maì amècche zabì almi	ラフェル・マイ・アメッケ・ザビ・アルミ
Lamone	Lamone	ラモーネ
Langia	Langia	ランギア
Lancialotto	Lancelot	ランスロット
Lanfranchi	Lanfranchi	ランフランキ
Lamberti	Lamberti	ランベルティ
Ravignani	Ravignani	ラヴィニャーニ
Ravenna	Ravenna	ラヴェンナ
Lapo Saltarello	Lapo Saltarello	ラーポ・サルタレッロ
Lia	Leah	リア
Rïalto	Rialto	リアルト
Livio	Livy	リウィウス
Riccardo	Richard of Saint Victor	リカルドゥス
Rinieri	Rinieri	リニエーリ
Rinier	Rinier	リニエール
Rinier	Rinier	リニエール・パッツォ
Lin	Linus	リヌス
Lombardo	Lombardo	リノアルド
Lino	Linus	リノス
Libia	Libya	リビア
Libicocco	Libicocco	リビコッコ
Rifeo	Ripheus	リフェウス
Rebecca	Rebecca	リベカ
Rimini	Rimini	リミニ
Limoges	Limoges	リモージュ
Licurgo	Lycurgus	リュクールゴス
Limbo	Limbo	リンボ
Lizio	Lizio	リーツィオ
Rife	Riphean	リーフェ
Lilla	Lille	リール
Luigi	Louis	ルイ
Luca	Luke	ルカ
Lucano	Lucan	ルカヌス
Lucrezia	Lucretia	ルクレツィア
Lucifero	Lucifer	ルシファー
Lucia	Lucy	ルチア
Te lucis ante	Te lucis ante	ルチス・アンテ
Lucca	Lucca	ルッカ
Ruggieri	Ruggieri	ルッジエーリ
Rut	Ruth	ルツ
Ridolfo	Rudolf	ルドルフ1世
Rubaconte	Rubaconte	ルバコンテ
Rubicante	Rubicante	ルビカンテ
Rubicon	Rubicon	ルビコン
Luni	Luni	ルーニ
Rëa	Rhea	レア
Learco	Learchus	レアルコ
Leandro	Leander	レアンドロス
Regina caeli	Regina caeli	レジーナ・チェリ
Leda	Leda	レダ
Lete	Lethe	レテ
Roboam	Rehoboam	レハブアム
Libano	Libano	レバノン
Lenno	Lemnos	レムノス
Lerici	Lerici	レリチ
Levì	Levi	レヴィ
Reno	Reno	レーノ
Ramondo Beringhiere	Raymond Berenger	レーモン・ベランジェ4世
Logodoro	Logodoro	ログドーロ
Loderingo	Loderingo	ロデリンゴ
Rodopëa	Rhodopean	ロドペ
Roberto	Robert	ロベルト
Ruberto Guiscardo	Robert Guiscard	ロベルト・グイスカルド
Romagna	Romagna	ロマーニャ
Roman	Roman	ロマーノ
Romualdo	Romuald	ロムアルドゥス
Romeo	Romeo	ロメオ
Villanova	Villanova	ロメオ・ディ・ヴィッラノーヴァ
Romena	Romena	ロメーナ
Lorenzo	Lawrence	ロレンツォ
Lombardo	Lombardo	ロンゴバルド
Roncisvalle	Roncesvalles	ロンスヴォー
Lombardia	Lombardy	ロンバルディア
Lombardo	Lombardo	ロンバルド
Rodano	Rhone	ローヌ
Roma	Rome	ローマ
Orlando	Roland	ローラン
Vaio	Vair	ヴァイオ
Vaticano	Vatican	ヴァティカン
Valdichiana	Valdichiana	ヴァルディキアーナ
Valdigrieve	Valdigrieve	ヴァルディグレーヴェ
Camonica	Camonica	ヴァル・カモニカ
Val di Magra	Val di Magra	ヴァル・ディ・マーグラ
Vanni Fucci	Vanni Fucci	ヴァンニ・フッチ
Vincislao	Wenceslaus	ヴァーツラフ2世
Visconti	Visconti	ヴィスコンティ
Vitaliano	Vitaliano	ヴィタリアーノ
Vicenza	Vicenza	ヴィチェンツァ
Vinum non habent	Vinum non habent	ヴィヌム・ノン・ハベント
Vecchio	Vecchio	ヴェッキオ
Verrucchio	Verrucchio	ヴェッルッキオ
Venezia	Venetians	ヴェネツィア
Venedico	Venedico	ヴェネーディコ
Venedico Caccianemico	Venedico Caccianemico	ヴェネーディコ・カッチャネミーコ
Vercelli	Vercelli	ヴェルチェッリ
Verde	Verde	ヴェルデ
Veltro	Veltro	ヴェルトロ
Verna	Verna	ヴェルナ
Vernaccia	Vernaccia	ヴェルナッチャ
Veronica	Veronica	ヴェロニカ
Verona	Verona	ヴェローナ
